id,name,venue,menuCategory,sellingPrice,totalCost,foodCostPercentage,isActive,popularity
cmn9xrcoq000w01pi34sdiesh,Tarte - Rhubarb,BOTH,PASTRY,8.9,1.54,19,t,0
cmn8ccfos00mz16qz9d9rj0y7,B & E Roll,BOTH,BREAKFAST,18.9,4.54,26.4,t,0
cmn8ccfrn00nq16qz34o0ek6b,Smoked Salmon Bagel,BURLEIGH,BREAKFAST,24.5,5.8,26,t,0
cmn8ccfqx00nd16qzcy8cpj37,Hot Honey Sourdough,BEACH_HOUSE,BREAKFAST,15.5,2.68,19.1,t,0
cmn8ccfqv00nc16qzv0pg830i,Health Bowl,BURLEIGH,BREAKFAST,24.9,5.98,26.4,t,0
cmn8ddn0e000501pib2gc92o5,Maple Bacon Bagel,BEACH_HOUSE,BREAKFAST,21.9,6.03,30.3,t,0
cmn8ccfoq00my16qz3udnjgb9,Avo Toast,BOTH,LUNCH,20.9,4.24,22.3,t,0
side_avo_01,Avocado Side,BOTH,SIDES,6.5,1.31,22.1,t,0
dish_bacon_crumpet_01,Crumpet Benny Bacon,BEACH_HOUSE,BREAKFAST,25.9,4.83,20.5,t,0
cmn9xr9sq000s01pihm24wjyo,Ricotta Cheesecake - Whole,BOTH,PASTRY,85,15.28,19.8,t,0
cmn9uknx8000m01piat2lkmqz,Lemon Butter Cake - Whole,BOTH,PASTRY,85,9.97,12.9,t,0
cmn9ukqzv000q01pizpttm7wx,Pecan Pie - Whole,BOTH,PASTRY,85,22.75,29.4,t,0
side_salmon_01,Salmon Side,BOTH,OTHER,9.5,2.39,27.6,t,0
dish_chilli_benny_01,Chilli Benny,BEACH_HOUSE,BREAKFAST,24.9,5.64,24.9,t,0
cmn8ccfp200n216qzukowvpje,Bullseye Benny,BURLEIGH,LUNCH,23.5,3.42,16,t,0
cmn8ccfrt00nu16qzpv10phzc,Summer Yoghurt,BOTH,LUNCH,23.9,4.23,19.5,t,0
dish_chilli_benny_salmon_01,Chilli Benny Salmon,BEACH_HOUSE,BREAKFAST,26.9,6.48,26.5,t,0
cmn8ccfp400n316qzpqglquiw,Bullseye Benny - Salmon,BURLEIGH,LUNCH,27.5,5.93,23.7,t,0
side_bacon_01,Bacon Side,BOTH,SIDES,7,0,0,t,0
cmn8ccfp600n416qz1vaumjh1,Chicken Miso Sandwich,BOTH,LUNCH,23.9,5.44,25,t,0
cmn8ccfrw00nv16qzf0qczrvs,Toasty - 5 cheese and truffle,BURLEIGH,BREAKFAST,21.9,5.36,26.9,t,0
cmn8ccfr000nf16qz5fut1sq8,Lemonade - old fashioned,BOTH,OTHER,9.9,1.36,15.2,t,0
cmn8ccfoz00n116qz6k48afez,Bullseye Bang,BURLEIGH,LUNCH,24.9,3.23,14.3,t,0
cmn9ukrrp000r01piztz2pey8,Ricotta Cheesecake - Slice,BOTH,PASTRY,9.9,1.91,21.2,t,0
