id,dishId,ingredientId,preparationId,quantity,unit,lineCost
dc_bb_06,dish_brisket_bagel_01,,cmn8ccfh400k716qz9x39lptb,25,g,0.2785
cmna3kqyu00ol15pi4kje9jpm,cmn8ccfro00nr16qzpq9ddlyl,cmn8cccvm002p16qzvyrwgznl,,45,g,0.383
cmna3kqyz00on15pifvcvsl0v,cmn8ccfro00nr16qzpq9ddlyl,cmn8ccel900cw16qznsxhjbld,,10,g,0.1811
cmna3kqyw00om15piezho2le1,cmn8ccfro00nr16qzpq9ddlyl,cmn8ccd5r003j16qzn0kldfg2,,45,g,0.4191
cmna3kqz800os15pi38ssw2jg,cmn8ccfro00nr16qzpq9ddlyl,cmn8ccelx00d316qzga3ud0gz,,30,g,0.3555
cmna3kqz700or15pitzrcg7dc,cmn8ccfro00nr16qzpq9ddlyl,cmn8cccs8002a16qzghwvjrwi,,30,g,0.348
cmna3kqz300op15pie4h74c79,cmn8ccfro00nr16qzpq9ddlyl,cmn8cce60009h16qzmb90kuwm,,15,g,0.276
cmqafvukt000wujq0st9tfx7a,cmqafvujv000qujq0mzx3238e,cmqafvsam0002ujq0seoo7iwk,,20,g,0.685
cmqafvukt000vujq0hhbzh7ik,cmqafvujv000qujq0mzx3238e,cmn8cccgz001f16qzu0k0bce2,,1,ea,0.12
cmna3kqxd00o715piy25et9h6,cmn8ccfrq00ns16qzkyqm9chb,cmn8cceyy00f916qzqazux2qq,,90,g,0.8175
cmna3kqwm00o315piklftynu3,cmn8ccfr500ni16qz3bsrkuza,cmn8cce0g008316qz78j5f2et,,30,ml,0.393
cmna3kqwa00o115pi4kx7cq4y,cmn8ccfr500ni16qz3bsrkuza,cmn8ccdsf006f16qzg149fkb9,,1,ea,0.25
cmna3kqy700oi15pife4pqcft,cmn8ccfov00n016qzhbbon2k3,cmn8ccco1001x16qz7hjf7hz7,,180,g,3.6
cmna3kqy200og15piecaskad4,cmn8ccfov00n016qzhbbon2k3,,cmn8ccfig00kj16qzauax8p61,35,g,0.2821
cmna3kqwf00o215pifac70suz,cmn8ccfr500ni16qz3bsrkuza,cmn8ccej500cp16qz3w9wf4la,,130,g,1.4495
cmna3kqxy00oe15pid9yjqtp2,cmn8ccfov00n016qzhbbon2k3,cmn8cce8a00a516qzurdw3hht,,1,ea,1.1
dc_bb_04,dish_brisket_bagel_01,,cmn8ccfig00kj16qzauax8p61,80,g,0.6448
dc_bb_08,dish_brisket_bagel_01,,cmn8ccfmt00m416qz6k2vj5gt,130,g,1.4708
dc_bb_01,dish_brisket_bagel_01,cmn8cccgz001f16qzu0k0bce2,,1,ea,0.12
cmna3kqxl00ob15pixwo8vuph,cmn8ccfrq00ns16qzkyqm9chb,cmn8ccf9m00hi16qzar452735,,25,g,0.2963
dc_bb_05,dish_brisket_bagel_01,,cmn8ccfd200il16qzn5x0bm3e,30,g,0.2412
cmna3kqxg00o815pib9vf30mo,cmn8ccfrq00ns16qzkyqm9chb,cmn8cccb7001016qzfxi0v3t7,,80,g,0.648
cmq4p1yp7000m0vq08bpafm9h,cmq4p1yod000k0vq0nyy47at6,cmn8ccdh1004k16qzk2z4pxti,,10,g,0.3596
cmqafvukt000uujq0dpjgfvp7,cmqafvujv000qujq0mzx3238e,cmqafvs8q0001ujq0lhvwknbz,,20,ml,0.27
cmqafvukt000tujq0hlby6tkp,cmqafvujv000qujq0mzx3238e,,cmqafvsts000aujq0jvjxdydb,50,g,0.057
dc_lemonade_01,cmn8ccfr000nf16qz5fut1sq8,,prep_lemonade_01,1,serve,1.3648
cmna3kqys00ok15pi6qfm3k7h,cmn8ccfro00nr16qzpq9ddlyl,,cmn8ccfn100m716qz6yalaknp,1,serve,2.6032
cmna3kqww00o515piwvcyxan6,cmn8ccfr500ni16qz3bsrkuza,,cmn8ccfmt00m416qz6k2vj5gt,80,g,0.9051
cmna3kqz200oo15piq45k1y7s,cmn8ccfro00nr16qzpq9ddlyl,cmn8ccc6u000p16qzmhih4oee,,25,g,0.4295
cmqafvukt000rujq0gorp59uu,cmqafvujv000qujq0mzx3238e,,cmqafvt7o000fujq0u9zjefn2,355,g,2.6706
cmna3kqxi00o915pih324z21o,cmn8ccfrq00ns16qzkyqm9chb,cmn8ccfc100i916qzqr6itw70,,55,g,0.2779
cmna3kqx100o615pizsjllv9i,cmn8ccfr500ni16qz3bsrkuza,cmn8cccgm001e16qzve6vs21e,,50,g,0.775
cmna3kqyc00oj15pij00pdr0a,cmn8ccfov00n016qzhbbon2k3,cmn8ccc46000j16qz60l0s9jv,,20,g,0.52
cmna3kqy500oh15pihicuoo0z,cmn8ccfov00n016qzhbbon2k3,cmn8ccf8s00hg16qzh8n7pnm9,,0.15,ea,0.315
dc_bs_01,dish_brisket_side_01,cmn8cccmw001t16qz8syvvooc,,70,g,4.1364
cmna3kqz500oq15pi8bdvjxcm,cmn8ccfro00nr16qzpq9ddlyl,,cmn8ccffq00jk16qzgmoi7eg1,1,serve,0.4148
cmna3kr7h00rr15pi7jzcazqr,cmn8ccfr700nj16qzw0ntm2jv,,cmn8ccflr00lr16qzsh8vckiz,1,serve,0.5202
dc_bb_03,dish_brisket_bagel_01,cmn8cceno00df16qz7xpq0rto,,35,g,0.6743
cmna3kqws00o415pib5rszriq,cmn8ccfr500ni16qz3bsrkuza,cmn8ccep300ds16qzz6v1hdst,,10,g,0.1533
cmna3kqxz00of15pi2ehpwysb,cmn8ccfov00n016qzhbbon2k3,,cmn8ccfik00kk16qzhoajtewa,30,g,0.337
dc_bb_07,dish_brisket_bagel_01,cmn8ccer200e616qzwbqhl3tt,,15,g,0.2007
dc_bb_02,dish_brisket_bagel_01,cmn8cccmw001t16qz8syvvooc,,70,g,4.1364
cmna3kr9k00si15pi8zt5oxg1,cmn8ccfqp00n916qz7a4290bp,,cmn8ccfk100kx16qzhd30scvq,70,g,0.9506
cmqafvukt000sujq03a6kifa1,cmqafvujv000qujq0mzx3238e,cmn8ccf7g00h716qzb94onjnt,,177,ml,0.7275
cmq4p1yp7000n0vq0o4wwkwkz,cmq4p1yod000k0vq0nyy47at6,cmn8ccetf00ei16qzsocqx65i,,0.5,g,0.014
cmq4p1yp7000l0vq0z4aeykik,cmq4p1yod000k0vq0nyy47at6,,cmq4p1yia00060vq0zblmf5od,120,g,1.6229
cmna3kqxn00oc15pilirwo4rb,cmn8ccfrq00ns16qzkyqm9chb,,cmn8ccfjf00kq16qzldg6xe79,30,ml,0.2256
dc_bec_03,dish_bec_bagel_01,cmn8cceno00df16qz7xpq0rto,,35,g,0.6743
dc_bec_07,dish_bec_bagel_01,cmn8ccer200e616qzwbqhl3tt,,15,g,0.2007
dc_bec_04,dish_bec_bagel_01,,cmn8ccfig00kj16qzauax8p61,80,g,0.6448
dc_bec_01,dish_bec_bagel_01,cmn8cccgz001f16qzu0k0bce2,,1,ea,0.12
dc_bec_05,dish_bec_bagel_01,,cmn8ccfd200il16qzn5x0bm3e,30,g,0.2412
cmna3kr0z00pe15piboknp6b9,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccez300fa16qz1mdo57w2,,120,g,1.3429
cmna3kr4b00qh15pirsdkotu6,cmn8ccfp600n416qz1vaumjh1,cmn8ccez300fa16qz1mdo57w2,,160,g,1.7905
cmna3kr0q00pb15pi41mvj8ih,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccchi001g16qzwmxu3fge,,5,g,0.15
cmna3kr0o00pa15pivmbtmot7,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccefj00bs16qz8zblg4jz,,1,ea,10.8333
dc_bec_06,dish_bec_bagel_01,,cmn8ccfh400k716qz9x39lptb,25,g,0.2785
cmna3kr4400qe15pi3h8jjfnz,cmn8ccfp600n416qz1vaumjh1,cmn8ccddt004616qzm9spi10w,,10,g,0.0375
cmna3kr2700pu15pi1gi0tpyw,cmn8czr2w000001pi0eainhs6,cmn8ccf0g00fk16qznvs8a17l,,5,ea,1.175
cmna3kr4t00qm15piu7jzhibh,cmn8ccfqm00n816qzsrgenv3k,,cmn8ccffs00jl16qzp7ordld9,50,g,0.6896
cmna3kr4200qd15pidxkhy3sq,cmn8ccfp600n416qz1vaumjh1,cmn8ccddo004516qzxiydaj8t,,140,g,1.6211
cmna3kr2g00py15pipsl6dg93,cmn8czr2w000001pi0eainhs6,cmimp0019d2eb389620003,,115,g,7.0541
cmna3kr1s00po15pion3ioe9z,cmn8ddmwn000301piyejj8eqn,,cmn8ccfgr00k116qzcde38a3o,25,ml,0.2559
cmna3kr4800qg15piwzt2fiq4,cmn8ccfp600n416qz1vaumjh1,cmn8cce8z00ab16qzv0cloyz3,,65,g,0.728
cmna3kr4k00qj15pi4u7cy5h0,cmn8ccfqm00n816qzsrgenv3k,cmn8ccczb002y16qzs1qfnjvq,,1,ea,5.125
cmna3kr4m00qk15pim02o7t9y,cmn8ccfqm00n816qzsrgenv3k,cmn8ccf5e00gm16qzxinaxdvg,,250,g,3.5
cmna3kr1o00pm15piwunhqi28,cmn8ddmwn000301piyejj8eqn,,,105,g,0
cmna3kr1z00pq15pismpa4di0,cmn8czr2w000001pi0eainhs6,cmn8ccdmc005e16qzvbhe41yc,,30,g,0.21
cmna3kr1m00pl15pif8e7gtan,cmn8ddmwn000301piyejj8eqn,,cmn8ccfkj00l516qzk8s75qd3,10,g,0.108
cmna3kr4w00qo15pixf50ly4x,cmn8ccfqm00n816qzsrgenv3k,cmn8ccf3400g616qzc5i2k5g2,,2,g,0.0019
cmna3kr2a00pw15pi23r5wc6v,cmn8czr2w000001pi0eainhs6,cmn8cce48009516qz3g94a1yo,,1,g,0.0167
cmna3kr2500ps15pi84hs31az,cmn8czr2w000001pi0eainhs6,,cmn8ccfjk00ks16qzb53yw876,60,g,0.4956
cmna3kr1u00pp15pizi7hlx9a,cmn8ddmwn000301piyejj8eqn,cmn8cccna001v16qzmqwkmj18,,140,g,7.7778
cmna3kr2300pr15pi3ihidld9,cmn8czr2w000001pi0eainhs6,cmn8ccd6u003n16qzz9ncqdlj,,20,g,0.1667
cmna3kr2900pv15pi97kr35rr,cmn8czr2w000001pi0eainhs6,cmn8ccchi001g16qzwmxu3fge,,4,g,0.12
cmna3kr0v00pd15pix7nvzj8p,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccdqh006216qzcwlqv2tn,,33,g,0.528
cmna3kr1200pf15pip610la31,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccf3400g616qzc5i2k5g2,,1,g,0.0009
cmna3kr1q00pn15pihc4p25cd,cmn8ddmwn000301piyejj8eqn,,cmn8ccfeh00j416qzpyx4ce6f,15,g,0.4432
cmna3kr4v00qn15pi564i55pn,cmn8ccfqm00n816qzsrgenv3k,cmn8ccdff004e16qzt2kv6hfx,,20,ml,0.04
cmo5bszdg000t01qtbhs2hzof,cmo5bszd8000r01qt5vdyycg6,,cmo3psal7000a01qvnuajtnlx,80,g,0.616
cmo5bszdg000s01qtkjdjt712,cmo5bszd8000r01qt5vdyycg6,,cmo3kgr7p000101qvbzpu36lv,160,g,0.7114
cmo5bszdg000u01qtgs6uo5kj,cmo5bszd8000r01qt5vdyycg6,,cmo5bnmjv000k01qte0m3k4wv,15,g,0.0691
dc_bec_08,dish_bec_bagel_01,,cmn8ccfmt00m416qz6k2vj5gt,130,g,1.4708
cmna3kr5h00qw15piquag44wo,cmn8ccfrn00nq16qz34o0ek6b,cmn8ccdqh006216qzcwlqv2tn,,10,g,0.16
cmna3kr5i00qx15pi4gyrprxw,cmn8ccfrn00nq16qz34o0ek6b,cmn8ccera00e816qztm0b6xwy,,10,g,0.0425
cmna3kr6000r115pi12ex0h3j,cmn8ccfrn00nq16qz34o0ek6b,cmn8ccdq8006116qzvngx3xw3,,0.02,ea,0.068
cmna3kr8y00s815piz5qj1s1t,cmn8ccfrw00nv16qzf0qczrvs,cmn8ccez300fa16qz1mdo57w2,,90,g,1.0071
cmna3kr0t00pc15pia6hjc9qq,cmn8ccfrf00nl16qzfzwazi7y,cmn8ccebm00b216qz8sp7y9ri,,39,g,0.1489
cmnzh6bgx000b01p7jtxaeo0g,side_avo_01,,cmn8ccfcr00ih16qzhfxo2es6,100,g,1.306
cmna3kr9800se15pi7nlfmb2e,cmn8ccfrw00nv16qzf0qczrvs,cmn8ccdat003x16qzsoza7ull,,200,g,2.819
dc_bec_02,dish_bec_bagel_01,cmn8cccgm001e16qzve6vs21e,,100,g,1.55
dc_marg_01,cmn8ccfr200ng16qzg4dke6qw,,new_margarita_01,1,serve,5.56
dc_spritz_01,dish_spritz_01,,prep_spritz_01,1,serve,5.03
dc_gt_01,dish_gt_01,,prep_gt_01,1,serve,4.07
cmna3kr4600qf15pisjk4yvje,cmn8ccfp600n416qz1vaumjh1,,cmn8ccfig00kj16qzauax8p61,12,g,0.0967
cmo5bszdg000v01qtztkngh8m,cmo5bszd8000r01qt5vdyycg6,cmn8ccetf00ei16qzsocqx65i,,0.5,g,0.014
cmna3kr2d00px15pi4vjeaqm0,cmn8czr2w000001pi0eainhs6,cmn8ccctz002i16qz5r61c9be,,1,ea,1.2
