id,name,supplierId,purchaseUnit,purchaseQuantity,purchasePrice,baseUnitsPerPurchase
cmn8ccc3w000i16qzeotft8dp,Agave Syrup Senor Maguey Organic,cmn8ccc0y000016qz9zc0gwqx,ml,750,72,750
cmn8ccc4d000k16qzrpz9ktep,Alfalfa,cmn8ccc1m000116qzkqgy4t8r,g,500,5.85,500
cmn8ccc5x000n16qz8ozpnj2a,Almond Milk - UHT Barista,cmn8ccc0y000016qz9zc0gwqx,l,1,3.05,1000
cmn8ccc84000s16qz0hy810gv,American Burger cheese,cmn8ccc0y000016qz9zc0gwqx,kg,2.27,31.43,2270
cmn8ccchi001g16qzwmxu3fge,Bagel Seasoning,cmn8ccc26000616qzbasks9f9,g,500,15,500
cmn8cccto002h16qz4z16fm19,Bread - Crusty Gluten Free,cmn8ccc26000616qzbasks9f9,piece,1,11,1
cmn8cccui002k16qzik8t060p,Bread improver,,g,500,4.07,500
cmn8cccv0002n16qzbjn7r5q9,Brioche bun,,piece,1,1.25,1
cmn8ccd0o003316qzrn89qbnr,"Butter Sheet, Tourage french",cmn8ccc2n000b16qz7h9bdkwv,g,1000,18,1000
cmn8ccdgr004j16qziuprmu6p,Chocolate Dark Calypso Compound Nestle,cmn8ccc0y000016qz9zc0gwqx,g,5000,72.88,5000
cmn8ccdhd004l16qz1wb6lr82,Chocolate Patissier Milk Choc 34.6%,cmn8ccc2h000916qzeaya7p0r,kg,10,219.25,10000
cmn8ccdhn004m16qz2mf00twh,Chocolate Sorbet,,kg,5,44,5000
cmn8ccdoi005o16qz5x9431ny,Creme Fraiche Provedores,cmn8ccc1z000416qz479l8oix,g,500,9.99,500
cmn8ccdp1005u16qz9g3m3hje,Curry Powder,cmn8ccc0y000016qz9zc0gwqx,kg,1,12.01,1000
cmn8ccdq1006016qzoj9vs8l7,Dijon Mustard Tarte,cmn8ccc1w000316qzfw8hu7vj,kg,1,9.95,1000
cmn8ccdqo006316qz0cgx9r5u,Distilled vinegar,,l,20,16.5,20000
cmn8ccdxg007i16qz2uy4hc3i,Glucose Syrup,cmn8ccc0y000016qz9zc0gwqx,l,0.5,4.74,500
cmn8ccdxn007j16qznl36v0o4,Goat - marinated,cmn8ccc1z000416qz479l8oix,g,2000,60.65,2000
cmn8ccdxw007l16qzrqlq9baa,Gochujang Paste,cmn8ccc0y000016qz9zc0gwqx,kg,3,28.46,3000
cmn8cce8i00a716qzuulqx3a4,Milo,cmn8ccc0y000016qz9zc0gwqx,g,1900,32.59,1900
cmn8cce38008w16qzq4e2wkmn,Ketjap Manis (sweet Soy),cmn8ccc0y000016qz9zc0gwqx,ml,620,5.46,620
cmn8cce4b009616qzmwnpe09j,Lemon Compound,cmn8ccc2n000b16qz7h9bdkwv,kg,1,66,1000
cmn8cce4l009816qziv1pk29j,Lemon juice - Bottled,cmn8ccc1q000216qz6riuv60h,ml,1000,9.7,1000
cmn8cce9b00ad16qz17m1utx1,Mortadella,,kg,1,22,1000
cmn8cce9t00ag16qzd8jk48sh,Muesli Tarte,cmn8ccc26000616qzbasks9f9,kg,1,9,1000
cmn8cce9w00ah16qzs2wj2rvi,Muscatel grapes,,kg,4,124.8,4000
cmn8ccead00an16qzgh0fpru4,Natural yogurt - coconut dairy free,cmn8ccc0y000016qz9zc0gwqx,kg,1,10.89,1000
cmn8cceaq00as16qzmmkakdsb,Oat Milk - UHT Barista,cmn8ccc0y000016qz9zc0gwqx,l,12,36.6,12000
cmn8cce7n009y16qz4xn3bnkv,Marjoram,,bunch,1,2.4,1
cmn8ccegk00c216qzokzl86xk,Peppermint I/C,,kg,5,49.5,5000
cmn8ccepf00dt16qzt1akg2l5,Rolled oats,cmn8ccc0y000016qz9zc0gwqx,kg,15,62.55,15000
cmn8cceq200dy16qzwt88820y,Rye Bread,cmn8ccc26000616qzbasks9f9,piece,1,10,1
cmn8cceyy00f916qzqazux2qq,Sourdough - Grain Sliced,cmn8ccc2y000f16qzb2p6ybyz,g,1200,10.9,1200
cmn8ccf0800fj16qzufnf0mri,Spring mix,cmn8ccc30000g16qz0bc2yb81,kg,7.7,132.69,7700
cmn8ccf0s00fm16qzrdsfv724,Sriracha sauce,cmn8ccc0y000016qz9zc0gwqx,g,740,9.8,740
cmn8ccf3g00g916qz6gpnaagc,tapenade,cmn8ccc23000516qzea7eibtf,g,2250,27.3,2250
cmn8ccf7000h116qzzkon5bb1,Vanilla bean paste,cmn8ccc0y000016qz9zc0gwqx,g,320,14.06,320
cmn8ccf7300h216qzwcq7nfwn,Vanilla I/C,,kg,5,44,5000
cmn8ccf7500h316qzcibsobqu,Vanilla paste,,g,320,27.8,320
cmn8ccf7g00h716qzb94onjnt,Vegetable Stock - Real Campbells,cmn8ccc0y000016qz9zc0gwqx,l,1,4.11,1000
cmn8ccf7i00h816qzqdkbxezg,Veilche Cocoa Powder,cmn8ccc2h000916qzeaya7p0r,kg,1,22.2,1000
cmn8ccf7k00h916qz6nh38k3f,Veliche Belgian White Choc,cmn8ccc2h000916qzeaya7p0r,kg,50,92,50000
cmimp0019d2eb389620005,Bread Crisps,,piece,1,0.5,1
cmn8ccdgg004i16qzbw3l0604,Chocolate Buttons White Nestle,cmn8ccc0y000016qz9zc0gwqx,bag,1,61.13,1000
cmn8ccf3000g516qz8bqxucoc,Tabasco,,btl,1,6.9,150
cmn8cccd0001416qz2ubpok9k,Baby Carrot,,bunch,1,2.95,1
cmn8ccceg001716qzrqkq6whw,Baby golden beetroot,,bunch,1,4.5,1
cmn8ccceq001816qzyjvmq9wv,Baby purple carrot,,bunch,1,4.25,1
cmn8cccfk001b16qzydfkdojz,Baby target beetroot,,bunch,1,4.5,1
cmn8cccfw001c16qzvmdeo7ya,Baby yellow carrot,,bunch,1,4.25,1
cmn8ccchy001h16qzd99l3yk2,Bakers Flour Euro Type 55,cmn8ccc26000616qzbasks9f9,bag,1,15,25000
cmn8cccr0002616qz7wr4qy4j,Bicarbonate,,bag,1,4.2,500
cmn8cccwy002s16qz3cnc5zjn,Bronze fennel,,punnet,1,8.95,1
cmn8cccxa002t16qz2fj8z59j,Bronze fennel - Tarte,cmn8ccc1q000216qz6riuv60h,bunch,1,8.1,1
cmn8ccd2f003916qz4i5ptjoi,Canola spray,,btl,1,3.85,1
cmn8ccdh1004k16qzk2z4pxti,Chocolate Lindt Piccoli White 2.5kg,cmn8ccc0y000016qz9zc0gwqx,bag,1,89.9,1
cmn8ccejm00cr16qzryosk1xi,Potato Diced Bag,cmn8ccc1m000116qzkqgy4t8r,bag,1,20.5,1
cmn8ccf2n00g216qz8x570w6b,Sweet potato fries,,bag,1,6.3,1
ing_flan_gel_01,Flan Gel Neutral Fruit Glaze,,kg,6,69.19,6000
ing_ebt_tea_01,EBT Tea Bag,,g,375,18.25,375
