id,name,category,yieldQuantity,yieldUnit,batchCost,costPerGram,costPerServe
cmn8ccfer00j916qzh1x1420z,Chocolate Croissant Dough Laminated,PASTRY,2,kg,27.1,0.0136,13.55
cmn8ccfcz00ik16qzjn3spbr0,Bagel Sponge,PASTRY,90,ea,2.46,0.0003,0.03
cmn8ccffv00jn16qzwrf8rdzj,Croissant Dough Laminated,PASTRY,2000,g,13.18,0.0066,0.01
cmn8ccfeh00j416qzpyx4ce6f,Chimichurri,SAUCE,2200,g,65,0.0295,0.03
cmn8ccfee00j216qzar8ym1dj,Chilli Benny,COMPONENT,1,ea,4.36,0.0436,4.36
cmn8ccffq00jk16qzgmoi7eg1,Crispy Chickpea,COMPONENT,31,serve,12.86,0.0028,0.41
cmn8ccfg000jp16qzdf9401zk,Crueller,PASTRY,1875,g,7.59,0.004,0
cmn8ccff400jd16qz06ibgy2f,Citrus Dressing,DRESSING,2750,g,21,0.0076,0.01
cmn8ccfd400im16qz8dzqcws1,Bechamel,SAUCE,7830,ml,38.16,0.0049,0
cmn8ccfg400jr16qzy3ti2slo,Crueller - Cinnamon - MINI - Each,PASTRY,1,ea,0.17,0.0017,0.17
cmn8ccfe700iz16qzm3g3mqsl,Cheesecake Base,PASTRY,2200,g,31.52,0.0143,0.01
cmn8ccffh00jg16qz4j6fuwav,Cream Cheese Frosting,PASTRY,7,kg,72.89,0.0104,10.41
cmn8ccfdj00is16qzu3qpt5b0,Bread Crisps,COMPONENT,1000,g,70.71,0.0707,0.07
cmn8ccfej00j516qzlol5uyc0,Choc Chip Cookie,PASTRY,70,ea,104.7,0.015,1.5
cmn8ccfgn00jz16qz3o92s5kq,Dulce,COMPONENT,395,g,3.48,0.0088,0.01
cmn8ccfg600js16qz8dhl074n,Crueller - Dulce De Leche - Each,PASTRY,1,ea,1.14,0.0114,1.14
cmn8ccfgp00k016qzaajgqptm,Dulce Glaze,PASTRY,10200,g,67.53,0.0066,0.01
cmn8ccfe900j016qznoqfg7ux,Cherry Pie - Large - each,PASTRY,1,ea,5.04,0.0504,5.04
cmn8ccfg900ju16qzrh8n9cyt,Crueller - Vanilla Bean - Each,PASTRY,1,ea,0.95,0.0095,0.95
cmn8ccfdw00iv16qz839imeem,Brioche Jam - each,PASTRY,1,ea,1.15,0.0115,1.15
prep_spritz_01,Aperol Spritz,OTHER,1,serve,5.03,0.0252,5.03
cmn8ccfcu00ii16qz5rgjmnej,Bacon Jam,PRESERVED,180,serve,132.09,0.0049,0.73
cmn8ccffm00ji16qzp3hg1xu1,Creme Brulee Cream,PASTRY,6000,g,54.54,0.0091,0.01
cmn8ccfet00ja16qzhj1ninmf,Cinnamon Paste,PASTRY,6.5,kg,40.63,0.0063,6.25
cmn8ccfdb00io16qzz78e5pel,Bisque Butter,COMPONENT,1600,g,17.45,0.0109,0.01
cmn8ccfgb00jv16qz8a10y7g3,Crumble,PASTRY,11280,g,59.14,0.0052,0.01
cmn8ccffk00jh16qz0dwaxpxx,Creamy Jalapeno dressing,DRESSING,1,l,20.57,0.0206,20.57
cmn8ccffa00je16qz2smsyfbr,Citrus Sugar,SAUCE,3200,g,7.31,0.0023,0
cmn8ccfeg00j316qz3a6jn11t,Chilli Sauce,SAUCE,500,serve,84.89,0.0011,0.17
cmn8ccff100jc16qz3t3nkzt7,Cinnamon Scroll - each,PASTRY,1,ea,0.81,0.0081,0.81
cmn8ccffx00jo16qzokdosyri,Croissant Plain - Each,PASTRY,1,ea,1.1,0.011,1.1
cmn8ccfen00j716qz49oyxe26,Chocolate Croissant - each,PASTRY,1,ea,2.47,0.0247,2.47
cmp7gffby00000upk9qzed0nu,Mini Bagel - each,PASTRY,1,ea,0.04,0.0004,0.04
cmp7gffdv00020upkqxpnm565,Mini Chicken Sandwich - each,PASTRY,1,ea,1.36,0.0136,1.36
cmp7gffhk000a0upkf5lvmkai,Mini Cucumber Sandwich - each,PASTRY,1,ea,1.14,0.0114,1.14
cmn8ccffo00jj16qzbo5aiv72,Creme Brulee Custard Base,PASTRY,3000,g,33.6,0.0112,0.01
cmn8ccfe300ix16qz9sjzcttm,Brownie Cookie - Each,PASTRY,1,ea,1.26,0.0126,1.26
cmn8ccfdf00iq16qzc2xpbzfs,Braised Chuck,COMPONENT,16,kg,341.04,0.0213,21.32
cmn8ccfeb00j116qz4tdx4iif,Cherry Pie Filling Mixture,PASTRY,12800,g,5.23,0.0004,0
cmn8ccfe000iw16qzgv7ml8w4,Brownie Cookie,PASTRY,24,ea,30.15,0.0126,1.26
cmn8ccfg800jt16qzb8abc1x1,Crueller - Dulce De Leche MINI - each,PASTRY,1,ea,0.38,0.0038,0.38
cmn8ccfgd00jw16qzeavb0tqt,Cucumber Dressing,DRESSING,1500,ml,8.24,0.0055,0.01
cmn8ccfey00jb16qziw6fotad,Cinnamon Scroll,PASTRY,3040,g,19.7,0.0065,0.01
cmn8ccfep00j816qz0ovz8ahc,Chocolate Croissant Dough,PASTRY,2,kg,11.1,0.0056,5.55
cmn8ccfcw00ij16qzz66rmr6x,Bagel Dough,PASTRY,90,ea,3.59,0.0004,0.04
cmn8ccfds00iu16qzdjyiyelo,Brioche Dulce De Leche - each,PASTRY,1,ea,1.33,0.0133,1.33
