id,preparationId,ingredientId,subPreparationId,quantity,unit,lineCost
cmna3knvg001915pizhaxhsiu,cmn8ccfkn00l716qzcmd80krl,cmn8ccf6100gt16qzwk163il8,,20,g,0.439
cmna3knvl001a15pihssjyfyl,cmn8ccfkn00l716qzcmd80krl,cmn8ccer200e616qzwbqhl3tt,,15,g,0.2007
cmna3knvr001b15piqs82jv3y,cmn8ccfkn00l716qzcmd80krl,cmn8ccdtq006p16qzbptaveyw,,30,g,0.57
cmna3knpm000x15pi8rr5pm96,cmn8ccfid00ki16qzlv0j5i9z,cmn8ccc95000v16qz4ji0434g,,400,g,2.158
cmna3knm4000k15pibb3vth0d,cmimp0019d2eb389620006,cmn8ccdf8004d16qz1kj5rrsn,,50,g,0.965
cmna3knrp001015pi9gmvxyd2,cmn8ccfmw00m516qzakt6kieh,cmn8ccdda004416qzxkanzh0e,,2500,g,20.875
cmna3knj8000c15pinil0fskq,cmn8ccfl100le16qz0sgfh7ct,cmn8ccf3y00gd16qz8efaje47,,25,g,3.4
cmna3knu0001615pixc2l61y7,cmn8ccfmw00m516qzakt6kieh,cmn8cceb200ax16qzyoeb56yv,,600,g,4.26
cmna3knfo000215pibekuge81,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccf3400g616qzc5i2k5g2,,25,g,0.0231
cmna3knoh000u15pihd1nyklq,cmn8ccfcg00id16qztd8o8clr,cmn8cccrt002916qz50nmrlz0,,1,ea,20.49
cmna3knw0001c15piuu7myetf,cmn8ccfkn00l716qzcmd80krl,cmn8ccep300ds16qzz6v1hdst,,10,g,0.1533
cmna3knle000h15piilr6emhx,cmimp0019d2eb389620006,cmn8ccdsk006g16qzwin225ba,,200,g,1.2727
cmna3knw5001d15pibtr1ezek,cmn8ccfkn00l716qzcmd80krl,cmn8ccenw00di16qzp5142h5v,,15,g,0.201
cmna3knwd001e15pig03okivs,cmn8ccfkn00l716qzcmd80krl,cmn8cce0m008516qzjbknrmgm,,10,g,0.3632
cmna3knwn001f15pin4rpzluv,cmn8ccfkn00l716qzcmd80krl,cmn8ccf3g00g916qz6gpnaagc,,15,g,0.182
cmna3knux001715pixkapg1d0,cmn8ccfkn00l716qzcmd80krl,cmn8ccele00cx16qzgixdrrve,,30,g,1.47
cmna3knpb000w15pix4jrl9qk,cmn8ccfid00ki16qzlv0j5i9z,cmn8cce1c008d16qzipr2g3db,,3550,g,29.7253
cmna3knpz000y15pinifo4s6p,cmn8ccfid00ki16qzlv0j5i9z,cmn8ccdf8004d16qz1kj5rrsn,,20,g,0.386
cmna3knsy001315piamk2her0,cmn8ccfmw00m516qzakt6kieh,cmn8ccfas00hq16qza546j0xj,,20,g,0.372
cmna3knsc001215pidpi3r7rr,cmn8ccfmw00m516qzakt6kieh,cmn8ccf3400g616qzc5i2k5g2,,50,g,0.0463
cmna3knt7001415pioe4z27gf,cmn8ccfmw00m516qzakt6kieh,cmn8ccei100cg16qzen7fnosh,,20,g,0.0442
cmna3knnk000o15piwkfjtu7d,cmn8ccfcg00id16qztd8o8clr,cmn8ccc52000m16qzs39gnysa,,300,ml,0.795
cmna3knnr000p15piqobczot7,cmn8ccfcg00id16qztd8o8clr,,,35,ml,0
cmna3knto001515pi5qi9lzrq,cmn8ccfmw00m516qzakt6kieh,cmn8cce4l009816qziv1pk29j,,250,g,2.425
cmna3kngc000515pixgyh3o6x,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccdwm007916qzosd7ljjv,,15,dozen,86.4
cmna3knfx000315pi3pz511kk,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccfas00hq16qza546j0xj,,15,g,0.279
cmna3knf2000015piwz7dcok8,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccdnx005k16qz2c9ifcch,,975,ml,6.8055
cmna3knnx000q15piudwe7qke,cmn8ccfcg00id16qztd8o8clr,cmn8ccc7e000q16qzxfpadat8,,150,g,2.67
cmna3kno1000r15pisygt1ca5,cmn8ccfcg00id16qztd8o8clr,cmn8ccc95000v16qz4ji0434g,,50,ml,0.2698
cmna3knfg000115pifd0vvemf,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccdoi005o16qz5x9431ny,,650,g,12.987
cmna3knib000915pir71a7hhc,cmn8ccfjw00kv16qz3ljepi75,cmn8ccer200e616qzwbqhl3tt,,6000,g,80.28
cmna3knlw000j15pi15px1q2c,cmimp0019d2eb389620006,cmn8ccd3z003d16qz9vi0a858,,150,g,9.23
cmna3knju000e15pib2di6ame,cmn8ccfl100le16qz0sgfh7ct,cmn8cce60009h16qzmb90kuwm,,5,g,0.092
cmna3kno7000s15pih1p986yo,cmn8ccfcg00id16qztd8o8clr,cmn8ccdpu005z16qz2up6s4h4,,15,g,0.1101
cmna3knoo000v15pi6d62wswa,cmn8ccfcg00id16qztd8o8clr,cmn8cce48009516qz3g94a1yo,,80,g,1.3393
cmna3knmo000m15pia8urs23z,cmimp0019d2eb389620006,cmn8ccdl1005616qz5hne29vl,,70,ml,0.1769
cmna3knlq000i15pit2b06l2y,cmimp0019d2eb389620006,cmn8cce2t008t16qzi6o93xb6,,300,g,2.55
cmna3knmg000l15pifbu4gboe,cmimp0019d2eb389620006,cmn8ccf3400g616qzc5i2k5g2,,10,g,0.0093
cmq4p1yj4000i0vq0k98xt42f,cmq4p1yia00060vq0zblmf5od,cmn8ccdhu004n16qzr0knftob,,728,g,22.2499
cmna3knjh000d15pim0l1w7op,cmn8ccfl100le16qz0sgfh7ct,cmn8cce4l009816qziv1pk29j,,125,g,1.2125
cmq4p1yj4000j0vq0q4cfitqd,cmq4p1yia00060vq0zblmf5od,cmn8ccdh1004k16qzk2z4pxti,,728,g,26.1789
cmna3knl0000g15pibk7sz1gx,cmimp0019d2eb389620006,,cmn8ccffe00jf16qz1y3rxw9j,5000,g,88.709
cmna3knxn001i15pivn0nb4qm,cmn8ccfky00lc16qzlt4jf9l7,cmn8ccef000bp16qz35o2ckvo,,3000,g,23.76
cmna3knqf000z15pi5z3h5u7s,cmn8ccfid00ki16qzlv0j5i9z,cmn8cce60009h16qzmb90kuwm,,30,g,0.552
cmna3kng5000415pinwumrg3n,cmn8ccfmt00m416qz6k2vj5gt,cmn8ccfan00ho16qzfo96iptu,,220,g,0.9856
cmna3knv5001815picaoguujh,cmn8ccfkn00l716qzcmd80krl,cmn8cce1n008h16qzg0px23v3,,20,g,0.439
cmna3knx4001h15picnj1pscu,cmn8ccffv00jn16qzwrf8rdzj,cmn8ccczy003016qzul0og9hz,,1,kg,11.8
cmq4p1yj4000h0vq0t1j21xc2,cmq4p1yia00060vq0zblmf5od,cmn8ccdhd004l16qz1wb6lr82,,728,g,15.9614
cmna3kns1001115pi9tppemk8,cmn8ccfmw00m516qzakt6kieh,cmn8cccj3001k16qzxt53lqvs,,1000,g,2.92
cmna3knod000t15pib5d86052,cmn8ccfcg00id16qztd8o8clr,cmn8ccetb00eh16qzqxtgd887,,1,g,0.0117
cmna3knj2000b15pizkj3guab,cmn8ccfl100le16qz0sgfh7ct,cmn8ccfbt00i616qzr4xdth72,,1000,g,5.68
cmna3knii000a15pitxs6xmt2,cmn8ccfjw00kv16qz3ljepi75,cmn8cce7l009x16qz90yjvb3g,,2200,g,54.12
cmna3ko3m002615pirs9x7rnx,cmn8ccfet00ja16qzhj1ninmf,cmn8ccdi6004p16qzlnw5sher,,80,g,1.7184
cmna3ko3c002415piqit72rbf,cmn8ccfet00ja16qzhj1ninmf,cmn8cccxs002u16qzw5hx9l2f,,1200,g,3.2216
cmna3ko38002315pima6v4dyl,cmn8ccfet00ja16qzhj1ninmf,cmn8ccf6s00gz16qzm0dlc3ed,,2,kg,32
cmna3ko51002c15piyak3r1eu,cmn8ccfhc00k916qzrnc8mzlq,cmn8ccf5k00go16qziv7wgf1o,,1,ea,0.3458
cmna3ko8p002s15pidwpj0qby,cmn8ccfgd00jw16qzeavb0tqt,,cmn8ccfjf00kq16qzldg6xe79,1000,ml,7.52
cmna3ko46002815piqyfpi4rj,cmn8ccfh400k716qz9x39lptb,cmn8ccdxw007l16qzrqlq9baa,,300,g,2.846
cmna3knxz001k15pijtuklxf9,cmn8ccfky00lc16qzlt4jf9l7,cmn8ccdry006a16qzd812bt6x,,72,ea,14.4
cmna3ko5p002i15piorub6mm7,cmn8ccfhc00k916qzrnc8mzlq,cmn8ccd8n003r16qzy8tyi4c1,,60,g,2.97
cmna3ko4m002b15pi0ttgmlc7,cmn8ccfh400k716qz9x39lptb,cmn8ccegi00c116qz958nheka,,2,g,0.0756
cmna3ko18001x15piyqdm2tz0,cmn8ccfll00lp16qz54igr8ot,cmn8ccebq00b316qzna2yulkw,,30,g,0.2652
cmna3ko58002e15pis6u5guza,cmn8ccfhc00k916qzrnc8mzlq,cmn8ccdzi007x16qz3917g8jw,,30,g,0.24
cmna3ko5x002j15piji2zriu9,cmn8ccfhc00k916qzrnc8mzlq,,cmn8ccfmt00m416qz6k2vj5gt,160,g,1.8102
cmna3ko5b002f15pinhd88dvz,cmn8ccfhc00k916qzrnc8mzlq,cmn8cccg7001d16qzg286apay,,20,g,0.322
cmna3ko55002d15piyxsfr2y9,cmn8ccfhc00k916qzrnc8mzlq,,cmn8ccfld00ll16qzuvc4q19e,25,g,0.285
cmna3ko5j002h15pi9x1v0lxw,cmn8ccfhc00k916qzrnc8mzlq,,cmn8ccflr00lr16qzsh8vckiz,1,serve,0.5202
cmna3ko7l002p15pi7ugn7z44,cmn8ccfjf00kq16qzldg6xe79,cmn8ccf3400g616qzc5i2k5g2,,5,g,0.0046
cmna3ko6s002m15pitqdj26zd,cmn8ccfjf00kq16qzldg6xe79,cmn8cceb200ax16qzyoeb56yv,,700,ml,4.97
cmna3ko7q002q15pije4s1s3v,cmn8ccfjf00kq16qzldg6xe79,cmn8cccrt002916qz50nmrlz0,,5,g,0.1025
cmna3ko7f002o15piqp6c8z4i,cmn8ccfjf00kq16qzldg6xe79,cmn8ccebi00b116qzgsr52n6x,,100,g,0.2102
cmna3ko70002n15piwij4pzh9,cmn8ccfjf00kq16qzldg6xe79,cmn8ccdpu005z16qz2up6s4h4,,40,g,0.2936
cmna3ko9d002u15pits08pyie,cmn8ccfn100m716qz6yalaknp,cmn8cceup00er16qzp4j23awp,,2,kg,80.4124
cmna3ko01001r15piv0rq98jq,cmn8ccfll00lp16qz54igr8ot,cmn8cceix00co16qz46n8lqt6,,5000,g,74.5
cmna3ko4d002915piaataobef,cmn8ccfh400k716qz9x39lptb,cmn8cce7s009z16qzxvas9woe,,950,g,10.45
cmna3ko0c001s15piqnyxr1rg,cmn8ccfll00lp16qz54igr8ot,cmn8ccf3400g616qzc5i2k5g2,,50,g,0.0463
cmna3ko0o001u15pipvb3ejay,cmn8ccfll00lp16qz54igr8ot,cmn8ccepu00dw16qz8i1ptm4b,,20,g,0.5627
cmna3ko0k001t15piiv9dyd0j,cmn8ccfll00lp16qz54igr8ot,cmn8ccegi00c116qz958nheka,,5,g,0.189
cmna3ko0u001v15pixvqx0sgx,cmn8ccfll00lp16qz54igr8ot,cmn8cceqo00e316qzxjgpwyw4,,20,g,0.819
cmna3ko12001w15pi01h7wkmh,cmn8ccfll00lp16qz54igr8ot,cmn8ccdwh007816qzjszfjjcs,,30,g,0.2997
cmna3ko1f001y15piyvmh900h,cmn8ccfll00lp16qz54igr8ot,cmn8ccepu00dw16qz8i1ptm4b,,20,g,0.5627
cmna3ko1n001z15pigvp7cwpw,cmn8ccfll00lp16qz54igr8ot,cmn8cceqo00e316qzxjgpwyw4,,20,g,0.819
